,bw_kg,adg_g_day,milk_prod_kg_d,NDF_nutrition,ADF_nutrition,CP_nutrition,Ash_nutrition,EE_nutrition,NDF_digest,ADL_nutrition,DM_digest,OM_digest
bw_kg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
adg_g_day,-0.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
milk_prod_kg_d,0.23,-0.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NDF_nutrition,0.24,-0.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
ADF_nutrition,0.34,-0.66,-0.03,0.77,NA,NA,NA,NA,NA,NA,NA,NA
CP_nutrition,-0.23,0.26,0.36,-0.53,-0.37,NA,NA,NA,NA,NA,NA,NA
Ash_nutrition,-0.25,0.5,-0.11,-0.18,-0.11,0.04,NA,NA,NA,NA,NA,NA
EE_nutrition,0.02,0.02,NA,-0.43,NA,0.57,0.18,NA,NA,NA,NA,NA
NDF_digest,0.28,0.48,-0.54,0.24,0.09,-0.29,0.24,NA,NA,NA,NA,NA
ADL_nutrition,0.5,-0.14,-0.15,0.61,0.76,-0.28,-0.22,NA,-0.35,NA,NA,NA
DM_digest,0.8,0.94,0.57,-0.86,-0.62,0.61,0.6,NA,0.08,-0.2,NA,NA
OM_digest,0.5,0.83,0.32,-0.69,-0.68,0.29,0.27,NA,0.16,-0.39,0.95,NA
