"","bw_kg","adg_g_day","milk_prod_kg_d","NDF_nutrition","ADF_nutrition","CP_nutrition","Ash_nutrition","EE_nutrition","NDF_digest","ADL_nutrition","DM_digest","OM_digest"
"bw_kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adg_g_day",0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"milk_prod_kg_d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDF_nutrition",-0.24,-0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF_nutrition",-0.31,-0.43,NA,0.44,NA,NA,NA,NA,NA,NA,NA,NA
"CP_nutrition",-0.19,-0.21,NA,0.15,0.1,NA,NA,NA,NA,NA,NA,NA
"Ash_nutrition",0.01,-0.37,NA,0.1,0.07,0.32,NA,NA,NA,NA,NA,NA
"EE_nutrition",0.49,0.13,NA,0.18,0.34,-0.3,-0.04,NA,NA,NA,NA,NA
"NDF_digest",0.79,0.97,NA,0.24,0.3,-0.25,-0.1,0.86,NA,NA,NA,NA
"ADL_nutrition",0,-0.8,NA,0.07,0.77,-0.1,0.16,-0.47,-0.38,NA,NA,NA
"DM_digest",0.3,0.83,NA,-0.28,-0.34,-0.43,0.12,-0.05,0.77,0.33,NA,NA
"OM_digest",0.44,-0.09,NA,-0.44,-0.55,-0.26,0.78,-0.59,0.54,0.51,0.97,NA
