"","bw_kg","adg_g_day","milk_prod_kg_d","NDF_nutrition","ADF_nutrition","CP_nutrition","Ash_nutrition","EE_nutrition","NDF_digest","ADL_nutrition","DM_digest","OM_digest"
"bw_kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adg_g_day",-0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"milk_prod_kg_d",0.78,-0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDF_nutrition",-0.27,0.26,-0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF_nutrition",-0.46,0.17,-0.58,0.53,NA,NA,NA,NA,NA,NA,NA,NA
"CP_nutrition",0.2,0.17,0.36,-0.46,-0.23,NA,NA,NA,NA,NA,NA,NA
"Ash_nutrition",0,-0.08,0.07,-0.21,-0.15,-0.03,NA,NA,NA,NA,NA,NA
"EE_nutrition",-0.68,0.87,-0.71,0.47,0.63,-0.02,0.07,NA,NA,NA,NA,NA
"NDF_digest",-0.3,0.22,-0.1,-0.28,0,0.05,0.05,-0.39,NA,NA,NA,NA
"ADL_nutrition",-0.15,0.25,-0.07,0.07,0.28,0.2,-0.28,0.27,0,NA,NA,NA
"DM_digest",0.36,-0.34,0.54,-0.61,-0.33,0.5,0.34,-0.51,0.41,-0.27,NA,NA
"OM_digest",0.29,-0.31,0.37,-0.41,-0.21,0.25,-0.1,-0.47,0.66,-0.72,0.93,NA
