"","bw_kg","adg_g_day","milk_prod_kg_d","NDF_nutrition","ADF_nutrition","CP_nutrition","Ash_nutrition","EE_nutrition","NDF_digest","ADL_nutrition","DM_digest","OM_digest"
"bw_kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adg_g_day",0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"milk_prod_kg_d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDF_nutrition",-0.61,-0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF_nutrition",-0.73,-0.91,NA,0.48,NA,NA,NA,NA,NA,NA,NA,NA
"CP_nutrition",0.43,0.7,NA,-0.8,-0.44,NA,NA,NA,NA,NA,NA,NA
"Ash_nutrition",0.67,0.32,NA,-0.14,-0.59,0.33,NA,NA,NA,NA,NA,NA
"EE_nutrition",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDF_digest",NA,0.4,NA,-0.76,0.04,0.61,0.83,NA,NA,NA,NA,NA
"ADL_nutrition",-0.73,0.19,NA,0.63,0.49,-0.16,-0.78,NA,-0.31,NA,NA,NA
"DM_digest",0.5,0.61,NA,-0.13,-0.39,0.59,0.72,NA,0.9,-0.67,NA,NA
"OM_digest",0.37,0.76,NA,-0.29,-0.32,0.51,0.69,NA,0.92,-0.61,0.86,NA
