"","bw_kg","adg_g_day","milk_prod_kg_d","NDF_nutrition","ADF_nutrition","CP_nutrition","Ash_nutrition","EE_nutrition","NDF_digest","ADL_nutrition","DM_digest","OM_digest"
"bw_kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adg_g_day",-0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"milk_prod_kg_d",0.88,-0.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDF_nutrition",0.33,-0.6,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF_nutrition",0.05,-0.8,0.29,0.9,NA,NA,NA,NA,NA,NA,NA,NA
"CP_nutrition",0.29,-0.04,0.41,-0.04,-0.42,NA,NA,NA,NA,NA,NA,NA
"Ash_nutrition",-0.42,-0.14,-0.15,0.23,0.48,0.18,NA,NA,NA,NA,NA,NA
"EE_nutrition",-0.54,0.04,-0.33,-0.1,0.18,-0.15,0.21,NA,NA,NA,NA,NA
"NDF_digest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADL_nutrition",0.5,0.94,0.62,-0.1,-0.68,0.9,0.65,-0.27,NA,NA,NA,NA
"DM_digest",0.91,0.95,NA,-0.16,-0.63,-0.98,-0.57,0.61,NA,NA,NA,NA
"OM_digest",-0.28,-0.16,NA,-1,0.67,-0.34,0.73,-0.69,NA,NA,0.15,NA
