"","bw_kg","adg_g_day","milk_prod_kg_d","NDF_nutrition","ADF_nutrition","CP_nutrition","Ash_nutrition","EE_nutrition","NDF_digest","ADL_nutrition","DM_digest","OM_digest"
"bw_kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adg_g_day",-0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"milk_prod_kg_d",0.72,-0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDF_nutrition",-0.2,0.02,-0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF_nutrition",-0.14,-0.16,-0.37,0.53,NA,NA,NA,NA,NA,NA,NA,NA
"CP_nutrition",0.23,-0.25,0.38,-0.25,-0.36,NA,NA,NA,NA,NA,NA,NA
"Ash_nutrition",-0.38,0.64,-0.33,-0.15,-0.44,-0.12,NA,NA,NA,NA,NA,NA
"EE_nutrition",0.08,0.05,-0.01,0.39,0.46,-0.16,-0.48,NA,NA,NA,NA,NA
"NDF_digest",-0.8,0.55,-0.54,0.25,0.26,-0.78,0.41,0.28,NA,NA,NA,NA
"ADL_nutrition",-0.17,0.82,-0.73,0.59,0.84,-0.5,-0.48,0.87,0.99,NA,NA,NA
"DM_digest",-0.72,NA,-0.43,0.29,0.28,-0.56,0.16,-0.35,0.9,0.57,NA,NA
"OM_digest",-0.75,0.79,-0.46,-0.07,-0.14,-0.4,0.45,0.01,0.85,0.44,0.98,NA
