"","bw_kg","adg_g_day","milk_prod_kg_d","NDF_nutrition","ADF_nutrition","CP_nutrition","Ash_nutrition","EE_nutrition","NDF_digest","ADL_nutrition","DM_digest","OM_digest"
"bw_kg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"adg_g_day",0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"milk_prod_kg_d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NDF_nutrition",-0.15,-0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADF_nutrition",-0.16,-0.46,NA,0.97,NA,NA,NA,NA,NA,NA,NA,NA
"CP_nutrition",-0.7,-0.18,NA,-0.42,-0.33,NA,NA,NA,NA,NA,NA,NA
"Ash_nutrition",0.2,-0.04,NA,0.05,0.15,-0.2,NA,NA,NA,NA,NA,NA
"EE_nutrition",-0.62,-0.69,NA,0.21,0.01,0.25,0.15,NA,NA,NA,NA,NA
"NDF_digest",0.06,-0.74,NA,-0.01,-0.21,-0.15,-0.38,-0.61,NA,NA,NA,NA
"ADL_nutrition",0.27,-0.05,NA,0.78,0.96,-0.66,0.06,-0.33,-0.81,NA,NA,NA
"DM_digest",0.46,-0.78,NA,0.37,-0.39,-0.55,-0.59,-0.58,0.83,-0.66,NA,NA
"OM_digest",NA,NA,NA,0.3,NA,-0.99,-0.91,-0.08,0.74,-0.22,0.87,NA
