,bw_kg,adg_g_day,milk_prod_kg_d,is_gestating,NDF_nutrition,ADF_nutrition,CP_nutrition,Ash_nutrition,EE_nutrition,NDF_digest,ADL_nutrition,DM_digest,OM_digest,DM_nutrition,feed_intake_g_d
bw_kg,NA,-0.27024365,0.804722448,0.033883995,-0.322638863,-0.268658723,0.276050156,-0.08003566,-0.268885637,-0.118442212,-0.224613004,0.453482596,0.330291595,-0.070404145,0.880518742
adg_g_day,-0.27024365,NA,-0.433673334,-0.027083815,-0.305693833,-0.362006015,0.050973714,-0.202322627,0.000752056,0.124481393,-0.114144916,0.205218898,0.194368611,-0.036996269,-0.187733595
milk_prod_kg_d,0.804722448,-0.433673334,NA,-0.058544345,-0.367951335,-0.28482134,0.399421637,-0.083357173,-0.227506441,-0.120993755,-0.231704449,0.395524995,0.235590785,-0.100445734,0.870636188
is_gestating,0.033883995,-0.027083815,-0.058544345,NA,0.082491457,NA,-0.103835748,-0.02990463,NA,NA,NA,NA,0.070481717,0.078773476,-0.052894553
NDF_nutrition,-0.322638863,-0.305693833,-0.367951335,0.082491457,NA,0.782306854,-0.438334115,0.244684689,0.254832814,0.04993307,0.40682776,-0.459146211,-0.570729357,-0.114667398,-0.439507162
ADF_nutrition,-0.268658723,-0.362006015,-0.28482134,NA,0.782306854,NA,-0.289414941,0.211044255,0.165031604,-0.119198725,0.620097232,-0.508740469,-0.52340514,0.057794455,-0.337260069
CP_nutrition,0.276050156,0.050973714,0.399421637,-0.103835748,-0.438334115,-0.289414941,NA,-0.108132369,-0.200303567,-0.242130305,0.017855296,-0.083330112,0.012547812,0.113324533,0.332791356
Ash_nutrition,-0.08003566,-0.202322627,-0.083357173,-0.02990463,0.244684689,0.211044255,-0.108132369,NA,0.170167415,0.046474818,-0.117995061,0.15368868,0.007139199,-0.420368379,-0.113499202
EE_nutrition,-0.268885637,0.000752056,-0.227506441,NA,0.254832814,0.165031604,-0.200303567,0.170167415,NA,0.016908138,-0.002417729,-0.45365953,-0.193677854,-0.114632314,-0.152457122
NDF_digest,-0.118442212,0.124481393,-0.120993755,NA,0.04993307,-0.119198725,-0.242130305,0.046474818,0.016908138,NA,-0.166617438,0.487249175,0.54686466,-0.026540755,-0.087334303
ADL_nutrition,-0.224613004,-0.114144916,-0.231704449,NA,0.40682776,0.620097232,0.017855296,-0.117995061,-0.002417729,-0.166617438,NA,-0.442769805,-0.501038265,0.285240242,-0.269171405
DM_digest,0.453482596,0.205218898,0.395524995,NA,-0.459146211,-0.508740469,-0.083330112,0.15368868,-0.45365953,0.487249175,-0.442769805,NA,0.937204804,0.000459185,0.512718635
OM_digest,0.330291595,0.194368611,0.235590785,0.070481717,-0.570729357,-0.52340514,0.012547812,0.007139199,-0.193677854,0.54686466,-0.501038265,0.937204804,NA,-0.005664704,0.379145307
DM_nutrition,-0.070404145,-0.036996269,-0.100445734,0.078773476,-0.114667398,0.057794455,0.113324533,-0.420368379,-0.114632314,-0.026540755,0.285240242,0.000459185,-0.005664704,NA,-0.151022937
feed_intake_g_d,0.880518742,-0.187733595,0.870636188,-0.052894553,-0.439507162,-0.337260069,0.332791356,-0.113499202,-0.152457122,-0.087334303,-0.269171405,0.512718635,0.379145307,-0.151022937,NA
